draw,flips,value_gain
0,4,0.011593919233648012
1,4,-0.015010058389595536
2,3,-0.007341760635384201
3,6,0.006997570575918035
4,5,0.01696446526194999
5,4,-0.006581554667359249
6,5,-0.002687452559607788
7,5,0.020315363569319105
8,5,-0.0005556963426521992
9,4,0.012690533958597807
10,6,0.04653978410546753
11,5,-0.002458672433809017
12,4,0.014810291148280332
13,6,0.02167071125806859
14,6,-0.004689326260096677
15,4,0.019480319819722158
16,6,-0.013901303015175627
17,4,0.015490615872283285
18,6,0.02929888849814263
19,5,-0.03599552342182557
20,5,-0.002028839298890572
21,3,-0.00590526023465367
22,3,-0.0037805993711266476
23,3,-0.01934299625814294
24,5,0.005038270351672914
25,4,0.0027980077226439984
26,5,0.002847503167992296
27,5,0.006759679388534575
28,5,0.039187338127067345
29,5,0.018040795836193693
30,4,0.0059570211570290545
31,5,-0.015530209487136728
32,5,-0.027611620179258712
33,5,-0.00609017638048178
34,4,0.0013114628833415596
35,4,0.012049021634905252
36,3,0.017698488026779258
37,3,9.617397331255724e-05
38,4,0.023510668932731578
39,5,-0.0033786475154942513
40,5,-0.02488058700967614
41,4,0.008895703343092134
42,3,0.022026368500249353
43,5,-0.014694869651353866
44,6,0.017116767841398782
45,2,-0.017611136804610274
46,2,-0.0016804141684094792
47,5,0.030970402005883045
48,4,0.012331394069980295
49,4,-0.013402014274764854
50,2,0.011380610741635286
51,4,0.0010988224656264265
52,4,0.009198224066501164
53,3,0.0013796308444989826
54,4,-0.0007971306129389569
55,3,-0.02667763609370826
56,6,0.02491335807416661
57,6,0.01982864826152949
58,4,0.013682935142296442
59,4,0.01377789671394174
60,4,-0.0228571617868444
61,5,0.007577911463447378
62,5,-0.03789141776271723
63,7,0.028871377784833594
64,5,0.003650436495106904
65,4,-0.029884555860454187
66,4,-0.01656167621560366
67,6,0.03435259639360926
68,6,0.001963679562491739
69,5,-0.0321986326174913
70,5,-0.004539129445417137
71,6,-0.003000860617440774
72,5,-0.03677603557802222
73,5,-0.0033343334070940157
74,5,-0.001997457137851328
75,4,0.013291385652227566
76,5,0.010185775220885162
77,4,0.03676109211828427
78,5,-0.0017890667211534746
79,4,0.012606268758254834
80,6,0.04409254573005666
81,5,0.03742444752031114
82,5,-0.03901390213085472
83,5,-0.024636727990403725
84,5,0.03620000392960753
85,4,-0.0035404111143096523
86,5,-0.007620588699069911
87,5,0.004021816346488743
88,4,-0.014367158769985915
89,3,0.0018829397671665266
90,5,0.029588452025266297
91,3,0.0045774657975925686
92,5,-0.014445735932059925
93,4,0.001204874886367924
94,5,-0.02373595822198383
95,4,-0.014585131848256104
96,6,-0.002905338110256319
97,5,-0.024806597872373264
98,5,0.0061066634723135355
99,3,0.012776008391460675
100,2,0.010131938599597278
101,4,0.00693395215012289
102,2,-0.0015487149974491962
103,5,0.008511756578668634
104,5,-0.011831776864946558
105,5,-0.013711738327357373
106,4,-0.024563221986798632
107,4,0.010841583192070762
108,5,3.1970868890714555e-07
109,6,0.008966731473891789
110,4,-0.005512700744760511
111,5,0.019672575433243297
112,4,0.01514004426120429
113,4,0.00033842993038002596
114,4,0.0016858239127129535
115,3,0.005768822108636497
116,5,-0.00491365542669861
117,5,0.0017031062431843574
118,6,0.015196965863725664
119,6,0.02919083048833066
120,4,-0.013492584849750232
121,5,-0.0039316697217271265
122,5,0.01519552206380988
123,3,-0.01280070605814043
124,6,0.03730431584171131
125,5,0.03094634265262611
126,5,0.01072607867300675
127,2,0.02738220259803449
128,6,0.02341867637667431
129,6,0.02513035689778007
130,5,-0.012620627922875029
131,7,0.03294995084009568
132,4,0.011027133765041526
133,4,0.01394627594055741
134,3,0.009770404861448843
135,5,0.013438972356298524
136,4,-0.014926889617810607
137,7,0.0065792232759094545
138,6,0.010367739939113555
139,3,0.01541808122383485
140,5,0.00024424076085393027
141,4,-0.022338803617675488
142,5,0.014179393640845297
143,3,-0.007895912892691596
