budget,horizon,best1_cluster,best1_count,F1_w_0.004,F1_w_1.0,F2_w_0.004,F2_w_1.0,best2_count
150.0,730.0,SL-16 i=71.0 n=26,4,0.098,0.097,0.134,0.139,7
150.0,1095.0,SL-16 i=71.0 n=26,5,0.098,0.097,0.134,0.139,8
150.0,1460.0,SL-16 i=71.0 n=26,5,0.195,0.192,0.23,0.234,8
200.0,730.0,SL-16 i=71.0 n=26,5,0.191,0.19,0.226,0.232,8
200.0,1095.0,SL-16 i=71.0 n=26,6,0.281,0.281,0.281,0.281,9
200.0,1460.0,SL-16 i=71.0 n=26,6,0.281,0.281,0.281,0.281,9
250.0,730.0,SL-16 i=71.0 n=26,6,0.281,0.281,0.316,0.323,9
250.0,1095.0,SL-16 i=71.0 n=26,6,0.281,0.281,0.316,0.323,9
250.0,1460.0,SL-16 i=71.0 n=26,6,0.281,0.281,0.316,0.323,9
