rank,list_name,norad,name,family,owner,mass_pub_kg,a_km,alt_km,inc_deg,raan_deg,ecc,length_m,diam_m,area_m2,dalt_km,dinc_deg
1,SL-16 R/B,20625,SL-16 R/B,SL-16,CIS,9000,7220.368202368667,842.2312023686673,70.9989,53.5223,0.00124943,10.4,3.9,37.828702540038094,0.26879763133274537,0.0010999999999938836
2,SL-16 R/B,16182,SL-16 R/B,SL-16,CIS,9000,7214.9628288559925,836.8258288559928,71.0027,254.6567,0.00052617,10.4,3.9,37.828702540038094,0.6741711440072322,0.0027000000000043656
3,SL-16 R/B,28353,SL-16 R/B,SL-16,CIS,9000,7221.770641575523,843.6336415755231,71.0017,347.9773,0.00065955,10.4,3.9,37.828702540038094,0.8663584244768572,0.0016999999999995907
4,SL-16 R/B,23405,SL-16 R/B,SL-16,CIS,9000,7218.48399089887,840.34699089887,70.9834,106.7321,0.00039293,10.4,3.9,37.828702540038094,0.1530091011300101,0.01659999999999684
5,SL-16 R/B,19650,SL-16 R/B,SL-16,CIS,9000,7216.472816199066,838.3358161990664,71.0001,265.6637,0.00148725,10.4,3.9,37.828702540038094,0.1641838009336425,0.00010000000000331966
6,SL-16 R/B,23088,SL-16 R/B,SL-16,CIS,9000,7220.362106411759,842.225106411759,70.9977,185.7269,0.0001679,10.4,3.9,37.828702540038094,1.2748935882409569,0.002300000000005298
7,SL-16 R/B,27006,SL-16 R/B,SL-16,CIS,9000,7373.780062802336,995.6430628023363,99.7816,353.3039,0.00151213,10.4,3.9,37.828702540038094,0.35693719766368304,0.2815999999999974
8,SL-16 R/B,22566,SL-16 R/B,SL-16,CIS,9000,7219.384558976517,841.2475589765172,71.0087,330.0601,0.00091777,10.4,3.9,37.828702540038094,0.2524410234827883,0.008700000000004593
9,SL-16 R/B,26070,SL-16 R/B,SL-16,CIS,9000,7217.588920299235,839.4519202992351,71.0009,212.1888,0.00166766,10.4,3.9,37.828702540038094,0.048079700764901645,0.0009000000000014552
10,SL-16 R/B,22285,SL-16 R/B,SL-16,CIS,9000,7218.864846801139,840.7278468011391,71.022,118.9285,0.00029302,10.4,3.9,37.828702540038094,0.7721531988609058,0.02200000000000557
11,SL-16 R/B,17590,SL-16 R/B,SL-16,CIS,9000,7213.059023443188,834.9220234431887,71.0032,30.326,0.0007065,10.4,3.9,37.828702540038094,0.4220234431886638,0.003200000000006753
12,SL-16 R/B,31793,SL-16 R/B,SL-16,CIS,9000,7220.952038309877,842.8150383098773,70.9763,286.704,0.00023208,10.4,3.9,37.828702540038094,0.18496169012269092,0.02370000000000516
13,SL-16 R/B,23705,SL-16 R/B,SL-16,CIS,9000,7218.7150469148055,840.5780469148058,71.0225,294.8264,0.00146357,10.4,3.9,37.828702540038094,1.4219530851942181,0.022499999999993747
14,SL-16 R/B,22220,SL-16 R/B,SL-16,CIS,9000,7214.080532667888,835.9435326678886,71.0012,302.1014,0.00150388,10.4,3.9,37.828702540038094,0.5564673321114242,0.0011999999999972033
15,SL-16 R/B,49051,SL-16 DEB,SL-16,CIS,9000,7217.3516201064085,839.2146201064088,71.0208,120.2933,0.00040518,10.4,3.9,37.828702540038094,0.2853798935911982,0.020799999999994156
16,SL-16 R/B,24298,SL-16 R/B,SL-16,CIS,9000,7229.128656809083,850.991656809083,70.7654,287.9593,0.00169315,10.4,3.9,37.828702540038094,0.008343190917003085,0.03459999999999752
17,SL-16 R/B,22353,SL-16 DEB,SL-16,CIS,9000,7226.2278271212535,848.0908271212538,70.9666,197.5037,0.01127733,10.4,3.9,37.828702540038094,3.090827121253824,0.03340000000000032
18,SL-16 R/B,22803,SL-16 R/B,SL-16,CIS,9000,7212.802138525794,834.6651385257946,70.9903,124.646,0.00160816,10.4,3.9,37.828702540038094,1.3348614742053542,0.009699999999995157
19,SL-16 R/B,19120,SL-16 R/B,SL-16,CIS,9000,7204.736539235878,826.5995392358782,71.0128,181.7946,0.00212162,10.4,3.9,37.828702540038094,1.4004607641218172,0.01279999999999859
20,SL-16 R/B,25400,SL-16 R/B,SL-16,CIS,9000,7183.028926019042,804.8919260190423,98.8372,139.9328,0.00105615,10.4,3.9,37.828702540038094,2.10807398095767,0.2372000000000014
21,ENVISAT,27386,ENVISAT,ENVISAT,ESA,7800,7139.712484382235,761.5754843822351,98.3841,136.5827,0.00013998,10.0,5.0,49.08738521234052,3.4245156177648823,0.28410000000000935
22,METEOR 3M,27001,METEOR-3M,PAY,CIS,2500,7381.141951323246,1003.0049513232461,99.8238,12.2687,0.00140082,6.0,2.5,14.23534171157875,0.49504867675386777,0.22380000000001132
23,ADEOS,24277,MIDORI (ADEOS),PAY,JPN,3560,7168.522218906186,790.3852189061863,98.799,240.1766,0.00023136,6.0,2.5,14.23534171157875,3.11478109381369,0.10099999999999909
24,H-2A R/B,27601,H-2A R/B,H-2A,JPN,3000,7157.092619452726,778.9556194527258,98.3321,141.659,0.00701952,11.0,4.0,40.84070449666731,6.044380547274159,0.1320999999999941
25,SL-12 R/B(2),15334,SL-12 R/B(2),SL-12,CIS,2440,7218.182041978893,840.0450419788931,71.0038,302.9432,0.00054364,5.6,3.7,21.649500374050664,2.454958021106904,0.0037999999999982492
26,CZ-2D R/B,38179,CZ-2D DEB,CZ-2,PRC,4000,7192.68803807141,814.5510380714104,98.8297,208.431,0.01283447,8.0,3.35,25.45573622341555,3.948961928589597,0.1296999999999997
28,H-2 R/B,24279,H-2 R/B,H-2,JPN,2700,7459.6625624273765,1081.5255624273768,98.7588,121.5089,0.0299827,11.0,4.0,40.84070449666731,1.4744375726231738,0.05879999999999086
29,COSMOS 2322,23704,COSMOS 2322,PAY,CIS,3250,7224.4729420730955,846.3359420730958,70.9855,316.2552,0.00083573,6.0,2.5,14.23534171157875,1.6640579269042064,0.014499999999998181
30,SL-8 R/B,8073,SL-8 R/B,SL-8,CIS,1435,7355.200407284823,977.0634072848234,82.8994,20.6283,0.00199835,6.5,2.4,14.514158059584844,0.56340728482337,0.0006000000000057071
31,COSMOS 2406,28352,COSMOS 2406,PAY,CIS,3250,7230.196566120243,852.0595661202433,70.9953,63.4816,0.00066712,6.0,2.5,14.23534171157875,1.4404338797567107,0.004699999999999704
32,COSMOS 2278,23087,COSMOS 2278,PAY,CIS,3250,7222.504841777892,844.367841777892,71.0545,290.5482,0.00101517,6.0,2.5,14.23534171157875,2.132158222108046,0.04549999999998988
33,COSMOS 1943,19119,COSMOS 1943,PAY,CIS,3250,7217.853647826337,839.7166478263371,71.0035,0.3935,0.00094669,6.0,2.5,14.23534171157875,2.2833521736629336,0.003500000000002501
34,ADEOS 2,27597,MIDORI II (ADEOS-II),PAY,JPN,3680,7172.011160359677,793.8741603596773,98.7886,144.7648,0.00018861,6.0,2.5,14.23534171157875,6.625839640322738,0.2886000000000024
35,SL-16 R/B,25861,SL-16 R/B,SL-16,CIS,9000,7001.587208573976,623.4502085739759,97.9828,244.266,0.00136024,10.4,3.9,37.828702540038094,10.049791426024058,0.2172000000000054
36,SL-12 R/B(2),15772,SL-12 R/B(2),SL-12,CIS,2440,7196.702974928041,818.5659749280412,71.1061,201.3263,0.0037082,5.6,3.7,21.649500374050664,2.4340250719587857,0.006100000000003547
37,SL-8 R/B,10693,SL-8 R/B,SL-8,CIS,1435,7350.164258178145,972.0272581781455,82.9863,208.9267,0.00221995,6.5,2.4,14.514158059584844,0.9727418218544699,0.013700000000000045
38,COSMOS 1844,17973,COSMOS 1844,PAY,CIS,3250,7221.898687780636,843.7616877806358,70.8981,148.2299,0.00319909,6.0,2.5,14.23534171157875,1.2383122193641611,0.10190000000000055
39,ARIANE 5 R/B,25261,ARIANE 40 R/B,ARIANE,FR,2575,7148.6852421298345,770.5482421298348,98.8137,216.8417,0.00046056,11.5,2.6,26.13805087786708,1.4517578701652383,0.2137000000000029
40,SL-8 R/B,12682,SL-8 R/B,SL-8,CIS,1435,7345.920499698586,967.7834996985866,82.9154,64.0062,0.00352755,6.5,2.4,14.514158059584844,0.21650030141336174,0.015399999999999636
41,SL-8 R/B,21257,SL-8 DEB,SL-8,CIS,1435,7348.468374058576,970.3313740585763,82.9204,299.2347,0.00334862,6.5,2.4,14.514158059584844,0.6686259414236702,0.02039999999999509
42,SL-8 R/B,24773,SL-8 R/B,SL-8,CIS,1435,7363.453884429854,985.3168844298543,82.9209,83.8257,0.00255773,6.5,2.4,14.514158059584844,0.1831155701456737,0.020899999999997476
43,SL-8 R/B,18403,SL-8 R/B,SL-8,CIS,1435,7353.252418031258,975.1154180312578,82.9191,149.4182,0.00563196,6.5,2.4,14.514158059584844,0.1154180312578319,0.019099999999994566
44,SL-3 R/B,17755,SL-3 DEB,SL-3,CIS,1100,7221.438854666944,843.3018546669446,81.2543,8.7695,0.00679647,3.1,2.6,8.984954989266809,0.1981453330554359,0.04569999999999652
45,SL-8 R/B,23604,SL-8 R/B,SL-8,CIS,1435,7361.394093984277,983.2570939842772,82.9023,218.1302,0.00250809,6.5,2.4,14.514158059584844,0.7429060157228378,0.002299999999991087
46,COSMOS 2082,20624,COSMOS 2082,PAY,CIS,3250,7220.964447082486,842.8274470824863,71.0401,135.7349,0.00140267,6.0,2.5,14.23534171157875,1.6725529175137126,0.04009999999999536
47,SL-8 R/B,17526,SL-8 R/B,SL-8,CIS,1435,7351.889114452107,973.752114452107,82.9005,90.0983,0.00416102,6.5,2.4,14.514158059584844,0.74788554789302,0.0004999999999881766
48,SL-8 R/B,9044,SL-8 R/B,SL-8,CIS,1435,7354.620539269342,976.4835392693421,82.9872,355.8544,0.00148282,6.5,2.4,14.514158059584844,0.5164607306578546,0.01279999999999859
49,COSMOS 1275,12782,COSMOS 1275 DEB,OTHER,CIS,800,7362.295135751978,984.1581357519781,82.9987,94.8994,0.00740341,5.0,2.0,9.42477796076938,0.1581357519780795,0.001300000000000523
50,SL-8 R/B,17360,SL-8 R/B,SL-8,CIS,1435,7352.4570751757665,974.3200751757668,82.9207,324.3797,0.0031203,6.5,2.4,14.514158059584844,0.17992482423323963,0.020699999999990837
